ID,Type,ontology,onther mappings,synonym,Label,Parent,Text definition,Comments,Subclass of,Equivalent to,Disjoint with,Ignore,Annotations
,,uberon,,,distal astragalus,,,,,,,,
,class,oba,Astragalus greatest breadth distal,,Astragalus breadth distal,,,,,,,,
,class,oba,Astragalus greatest breadth proximal,,Astragalus greatest breadth proximal,,,,,,,,
,class,oba,Astragalus greatest depth lateral,,Astragalus greatest depth lateral,,,,,,,,
,class,oba,Astragalus greatest depth medial,,Astragalus greatest depth medial,,,,,,,,
,class,oba,Astragalus greatest length lateral,,Astragalus greatest length lateral,,,,,,,,
,class,oba,Astragalus greatest length medial,,Astragalus greatest length medial,,,,,,,,
,class,oba,Astragalus LLMc,,Astragalus LLMc,,,,,,,,
,Class,oba,,,body length without tail,,A length measurement of the body that includes the tail.,,'body length','body length' and (not('has part' some 'tail')),,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,class,oba,c.diastema.1.mm; c.diastema.2.mm,has_related_synonym: diastema length,diastema between central incisors length,,,,,,,,
,class,oba,,has_related_synonym: diastema length,diastema between lower central incisors length,,,,,,,,
,class,oba,c.toothrow.1.mm; c.toothrow.2.mm,,tooth row length,,,,,,,,
,class,oba,,has_related_synonym: tooth row length,upper tooth row length,,,,,,,,
,,,,has_related_synonym: tooth row length,lower tooth row length,,,,,,,,
,class,oba,Calcaneum greatest breadth,,,,,,,,,,
,class,oba,Calcaneum greatest depth,,,,,,,,,,
,class,oba,Calcaneum greatest length,,,,,,,,,,
,class,oba,Calcaneum LB [change to Bc],,,,,,,,,,
,class,oba,Calcaneum LD [change to Dc],,,,,,,,,,
,Class,oba,,,distal epiphysis of tibia length,,The length of a distal epiphysis of a tibia.,,,length and ('inheres in' some 'distal epiphysis of tibia'),,,"IAO:0000119 ""Woodburne, M. O., Sondaar, P., & Eisenmann Vera. (1988). Studying fossil horses: collected papers after the New York International Hipparion Conference,  1981. Leiden: Brill."""
,Class,oba,,,distal epiphysis of tibia size trait,,The size of the distal epiphysis of the tibia,,,size and ('inheres in' some 'distal epiphysis of tibia'),,,
,Class,oba,,,distal radius breadth,,The width of a distal epiphyses of a radius.,,,width and ('inheres in' some ('distal region' and ('part of' some 'radius bone'))),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,,ear length,,A length measurement of an ear.,,,length and ('inheres in' some ear),,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,Class,oba,,,femur circumference,,The circumference of a shaft of a femur.,,,circumference and ('inheres in' some femur),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,class,oba,Femur greatest breadth distal,,distal epiphysis of femur width,,,,,,,,
,class,oba,Femur greatest breadth proximal,,proximal epipysis of femur width,,,,,,,,
,class,oba,Femur greatest depth distal,,distal epiphysis of femur depth,,,,,,,,
,class,oba,Femur greatest depth proximal,,proximal epipysis of femur depth,,,,,,,,
,Class,oba,,,femur length,,A length measurement of a femur.,,,length and ('inheres in' some femur),,,
,class,oba,Femur smallest diameter (SD),,,,,,,,,,
,Class,oba,,,full body length,,A length measurement of the body that includes the tail.,,'body length',body length' and ('has part' some tail),,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,class,oba,,,gonad length,,,,gonad size trait,,,,
,class,oba,,,gonad width,,,,gonad size trait,,,,
,Class,oba,,,hind foot length with claw,,A length measurement of a hind foot that includes a cutaneous appendage.,,,length and ('inheres in' some pes and ('has part' some 'cutaneous appendage')),,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,Class,oba,,,humerus circumference,,A measurement of the circumference a shaft of a humerus.,,,circumference and ('inheres in' some humerus),,,
,class,oba,Humerus greatest breadth distal,,,,,,,,,,
,class,oba,Humerus greatest breadth proximal,,,,,,,,,,
,class,oba,Humerus greatest depth distal,,,,,,,,,,
,class,oba,Humerus greatest depth proximal,,,,,,,,,,
,class,oba,Humerus height of the trochlea,,,,,,,,,,
,class,oba,Humerus least breadth of the trochlea,,,,,,,,,,
,class,oba,Humerus least height of the trochlea constriction,,,,,,,,,,
,class,oba,Humerus smallest diameter,,,,,,,,,,
,Class,oba,,,humerus tubercle width,,The width of a tubercle of a humerus.,,,width and ('inheres in' some 'ventral tubercle of humerus'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,has_related_synonym: ear length,length line from helix of outer ear to intertragus incisure,,The length of a line of an ear from a helix of the outer ear to an intertragus insicusure of an ear.,,'ear length',length and ('inheres in' some 'line from helix of outer ear to intertragus incisure'),,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,Class,oba,,has_related_synonym: femur greatest length,length line of medial condyle of femur to greater trochanter,,The length of a line of a femur from a medial condyle of a femur to a greater trochanter of a femur.,,'femur length',length and ('inheres in' some 'line of medial condyle of femur to greater trochanter'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,has_related_synonym: femur greatest length,length line of medial condyle of femur to head of femur,,The length of a line of a femur from a medial condyle of a femur to a head of a femur.,,'femur length',length and ('inheres in' some 'line of medial condyle of femur to head of femur'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,has_related_synonym: humerus greatest length,length line trochlea of humerus to proximal head of humerus,,The length of a line of a trochlea of a humerus to a proximal head of a humerus.,,'humerus length',length' and ('inheres in' some 'line trochlea of humerus to proximal head of humerus'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,oba,,has_related_synonym: humerus greatest length,length line trochlea of humerus to ventral tubercle of humerus,,The length of a line of a trochlea of a humerus to a ventral tubercle of a humerus.,,'humerus length',length' and ('inheres in' some 'line trochlea of humerus to ventral tubercle of humerus'),,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line from helix of outer ear to intertragus incisure,,A line that connects a helix of the outer ear to an intertragus incisure of an ear.,,,,,,"IAO:0000119 ""Ansell,  W. F. H. (1965). Standardisation of Field Data on Mammals. Zoologica Africana, 1(1) 97-113. doi: 10.1080/00445096.1965.11447303"""
,Class,uberon,,,line of medial condyle of femur to greater trochanter,,A line that connects a medial condyle of a femur to a greater trochanter of a femur.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line of medial condyle of femur to head of femur,,A line that connects a medial condyle of a femur to a head of a femur.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line trochlea of humerus to proximal head of humerus,,A line that connects a trochlea of a humerus to a proximal head of a humerus.,,,,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
,Class,uberon,,,line trochlea of humerus to ventral tubercle of humerus,,A line that connects a trochlea of a humerus to a ventral tubercle of a humerus.,,anatomical line' and (connects some 'trochlea of humerus') and (connects some ('ventral tubercle of humerus' and ('part of' some humerus))),,,,"IAO:0000119 ""Von den Driesch, Angela (1976). A guide to the measurement of animal bones from archaeological sites. Cambridge: Peabody Museum of Archaeology and Ethnology, Harvard University."""
